[FLY99],RAJ2000,DEJ2000,[WBD96],ABmag,z_spec,z_phot,Type
295,12 36 41.442,+62 11 52.66,4-879.0,27.04,,1.0,4
296,12 36 51.606,+62 12 24.19,3-590.0,27.67,,1.6,4
297,12 36 48.252,+62 12 13.91,4-260.111,22.55,0.96,1.12,3
298,12 36 53.125,+62 12 28.97,3-588.0,27.55,,1.16,4
299,12 36 53.481,+62 12 30.32,3-584.0,27.51,,1.52,4
300,12 36 56.807,+62 12 40.58,3-610.11112,26.46,,0.4,2
301,12 36 47.662,+62 12 12.48,4-283.0,27.52,,1.72,4
302,12 36 58.349,+62 12 45.49,3-581.0,24.88,,0.64,3
303,12 36 52.091,+62 12 26.29,3-586.0,24.06,,1.0,1
304,12 36 51.857,+62 12 25.65,3-593.1,25.6,,1.76,3
305,12 36 48.927,+62 12 16.70,4-148.0,27.87,,1.24,1
306,12 36 48.626,+62 12 15.79,4-186.0,24.58,,1.6,2
307,12 36 52.249,+62 12 27.12,3-577.0,26.75,3.36,2.88,3
308,12 36 57.075,+62 12 42.13,3-570.0,27.59,,1.4,4
309,12 36 45.141,+62 12 05.53,4-502.0,25.25,,1.64,4
310,12 36 48.119,+62 12 14.85,4-260.112,24.42,,0.6,4
311,12 36 48.713,+62 12 16.72,4-169.0,26.32,,5.64,3
312,12 36 49.673,+62 12 19.69,4-85.2,25.19,,2.08,4
313,12 36 52.862,+62 12 29.64,3-571.0,24.64,,0.72,2
314,12 36 53.494,+62 12 31.67,3-568.0,26.36,,1.0,3
315,12 36 47.233,+62 12 12.61,4-332.2,25.92,,1.32,4
316,12 36 40.681,+62 11 52.61,4-938.0,24.92,,0.16,4
317,12 36 48.559,+62 12 16.91,4-177.0,28.0,,1.2,2
318,12 36 47.079,+62 12 12.52,4-332.1,24.82,,1.12,4
319,12 36 49.518,+62 12 20.10,4-85.1,24.41,0.961,0.92,4
320,12 36 58.083,+62 12 46.49,3-563.1,25.44,,1.12,4
321,12 36 51.012,+62 12 24.79,3-564.0,26.15,,0.44,3
322,12 36 56.963,+62 12 43.22,3-557.0,26.81,,2.52,3
323,12 36 47.505,+62 12 14.11,4-291.0,27.93,,1.24,2
324,12 36 50.344,+62 12 22.94,3-561.0,25.7,,0.8,4
325,12 36 52.448,+62 12 29.67,3-556.1,27.61,,1.36,4
326,12 36 42.373,+62 11 58.70,4-780.0,26.71,,0.0,2
327,12 36 49.278,+62 12 20.05,4-99.0,27.39,,1.28,4
328,12 36 48.357,+62 12 17.27,4-200.0,26.19,,4.76,4
329,12 36 54.016,+62 12 34.98,3-554.2,26.36,,1.48,4
330,12 36 52.360,+62 12 29.91,3-556.2,27.49,,0.68,2
331,12 36 57.662,+62 12 46.55,3-544.0,26.67,,1.0,4
332,12 36 48.750,+62 12 19.14,4-154.0,25.66,,0.44,3
333,12 36 41.320,+62 11 56.26,4-870.0,27.19,,0.4,3
334,12 36 51.326,+62 12 27.29,3-550.1,24.71,2.775,1.72,4
335,12 36 53.449,+62 12 34.26,3-551.0,22.81,0.559,0.52,3
336,12 36 48.875,+62 12 20.20,4-128.0,27.62,,2.0,4
337,12 36 51.596,+62 12 28.70,3-535.0,27.5,,2.44,4
338,12 36 47.326,+62 12 15.87,4-298.1,27.17,,1.72,4
339,12 36 49.053,+62 12 21.24,4-120.0,22.44,0.953,0.84,4
340,12 36 49.463,+62 12 22.51,4-74.0,27.58,,0.0,4
341,12 36 41.661,+62 11 58.46,4-832.0,26.86,,4.56,4
342,12 36 42.473,+62 12 01.17,4-743.0,27.64,,0.88,4
343,12 36 57.104,+62 12 46.40,3-543.0,27.78,,6.24,4
344,12 36 50.848,+62 12 27.21,3-528.1,24.25,,0.64,3
345,12 36 56.647,+62 12 45.32,3-610.11111111,20.0,0.517,0.68,2
346,12 36 50.326,+62 12 26.07,3-516.0,26.73,,4.76,3
347,12 36 42.290,+62 12 01.40,4-769.0,26.06,,1.08,4
348,12 36 41.520,+62 11 59.07,4-846.0,27.64,,0.92,4
349,12 36 42.897,+62 12 03.44,4-697.0,26.57,,1.8,4
350,12 36 58.768,+62 12 52.35,3-534.11,21.27,0.32,0.28,3
351,12 36 58.323,+62 12 51.12,3-534.12,24.03,,0.24,4
352,12 36 59.153,+62 12 53.74,3-534.2,24.71,,0.6,4
353,12 36 49.945,+62 12 25.44,4-1.0,24.32,,1.08,4
354,12 36 49.646,+62 12 24.56,4-31.0,27.61,,1.64,4
355,12 36 51.950,+62 12 31.69,3-510.1,26.11,,2.24,4
356,12 36 57.632,+62 12 49.20,3-504.0,26.13,,1.72,4
