ra,dec,star_flag,near_star,use_phot,z_spec,z_peak,field
188.95898438,62.19462967,0,0,1,,1.2668,GOODS-N
188.95906067,62.22992325,0,0,1,,0.3998,GOODS-N
188.959198,62.18814087,0,0,1,,1.8111,GOODS-N
188.95922852,62.18143845,0,0,1,,0.4212,GOODS-N
188.95950317,62.19399643,0,0,1,,1.1656,GOODS-N
188.95954895,62.23165131,0,0,1,,0.8896,GOODS-N
188.95968628,62.1893959,2,0,1,,0.4456,GOODS-N
188.95973206,62.18106461,2,0,1,,1.6551,GOODS-N
188.95974731,62.22674561,2,0,1,,0.853,GOODS-N
188.95979309,62.20192719,2,0,1,,1.6107,GOODS-N
188.96002197,62.22737503,0,0,1,,0.0431,GOODS-N
188.96005249,62.17839813,0,0,1,,5.5665,GOODS-N
188.96006775,62.19021988,0,0,1,,1.8165,GOODS-N
188.96008301,62.1847229,0,0,1,,0.9875,GOODS-N
188.96012878,62.235569,0,0,1,,1.4747,GOODS-N
188.96017456,62.20327759,2,0,1,,1.1735,GOODS-N
188.96017456,62.21094894,2,0,1,,1.9609,GOODS-N
188.96017456,62.23578644,2,0,1,,0.9115,GOODS-N
188.96020508,62.18779755,2,0,0,,1.3797,GOODS-N
188.96025085,62.21837616,2,0,1,,0.1152,GOODS-N
188.96028137,62.21685028,2,0,1,,1.9912,GOODS-N
188.96044922,62.20144272,0,0,1,,1.6375,GOODS-N
